state,institution_name,composite_year,composite_score,institution_type,unitid,opeid,city,zip_code
AK,Charter College,2008,2.6,Proprietary,102845,02576900,Anchorage,99508-4103
AK,Charter College,2007,2.2,Proprietary,102845,02576900,Anchorage,98683-7575
AK,Charter College,2006,2.3,Proprietary,102845,02576900,Anchorage,98683-7575
AL,Alabama College of Osteopathic Medicine,2016,3,Non-profit,483975,04226700,Dothan,36303-2251
AL,Alabama College of Osteopathic Medicine,2015,2.9,Non-Profit,483975,04226700,Dothan,36303-2251
AL,Alabama College of Osteopathic Medicine,2014,3,Non Profit,483975,04226700,Dothan,36303-2251
AL,Alabama College of Osteopathic Medicine,2013,2.2,Non Profit,483975,04226700,Dothan,36303-2251
AL,Alabama School of Nail Technology & Cosmetology,2016,1.6,Proprietary,488916,04255500,Jackson,36545-2718
AL,Alabama School of Nail Technology & Cosmetology,2014,2.5,Proprietary,488916,04255500,Jackson,36545-2718
AL,Alabama State College of Barber Styling,2016,1.7,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2015,1.9,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2014,2.5,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2013,3,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2012,2.9,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2011,2.6,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2010,3,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2009,3,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2008,-1,Proprietary,371034,03032500,Gardendale,35071-4615
AL,Alabama State College of Barber Styling,2007,3,Proprietary,371034,03032500,Birmingham,35205-3509
AL,Alabama State College of Barber Styling,2006,0.2,Proprietary,371034,03032500,Birmingham,35205-3509
AL,Amridge University,2016,2.7,Non-profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2015,2.8,Non-Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2014,3,Non Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2013,3,Non Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2012,3,Non Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2011,3,Non-Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2010,2.8,Non Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2009,2.7,Private Non-Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2008,2.7,Non Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2007,2.4,Private Non-Profit,100690,02503400,Montgomery,36117-3553
AL,Amridge University,2006,2.7,Private Non-Profit,100690,02503400,Montgomery,36117-3553
AL,Birmingham School of Massage,2011,0.2,Proprietary,,04205400,Birmingham,35216-1230
AL,Birmingham School of Massage,2010,0.2,Proprietary,,04205400,Birmingham,35216-1230
AL,Birmingham Southern College,2011,2.4,Non-Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham Southern College,2010,0.9,Non Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham Southern College,2009,0.6,Private Non-Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham Southern College,2008,0.6,Non Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham Southern College,2007,2.2,Private Non-Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham Southern College,2006,2.2,Private Non-Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham-Southern College,2016,2.1,Non-profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham-Southern College,2015,1.6,Non-Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham-Southern College,2014,2,Non Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham-Southern College,2013,2.9,Non Profit,100937,00101200,Birmingham,35254-0002
AL,Birmingham-Southern College,2012,3,Non Profit,100937,00101200,Birmingham,35254-0002
AL,Blue Cliff Career College,2016,1.7,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2015,3,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2014,1.5,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2013,3,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2012,1.5,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2011,2.5,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2010,2.6,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2009,2.9,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2008,2.5,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2007,1.5,Proprietary,444440,03783300,Mobile,36606-4749
AL,Blue Cliff Career College,2006,2.4,Proprietary,444440,03783300,Mobile,36606-4749
AL,Cardiac and Vascular Institute of Ultrasound,2016,2.8,Proprietary,455707,04066300,Mobile,36606-1411
AL,Cardiac and Vascular Institute of Ultrasound,2015,3,Proprietary,455707,04066300,Mobile,36606-1411
AL,Cardiac and Vascular Institute of Ultrasound,2014,3,Proprietary,455707,04066300,Mobile,36606-1411
AL,Cardiac and Vascular Institute of Ultrasound,2013,2.9,Proprietary,455707,04066300,Mobile,36606-1411
AL,Cardiac and Vascular Institute of Ultrasound,2012,2.2,Proprietary,455707,04066300,Mobile,36606-1411
AL,Cardiac and Vascular Institute of Ultrasound,2011,2.7,Proprietary,455707,04066300,Mobile,36604-1411
AL,Cardiac and Vascular Institute of Ultrasound,2010,2.4,Proprietary,455707,04066300,Mobile,36604-1411
AL,Cardiac and Vascular Institute of Ultrasound,2009,3,Proprietary,455707,04066300,Mobile,36604-1411
AL,Cardiac and Vascular Institute of Ultrasound,2008,1.5,Proprietary,455707,04066300,Mobile,36604-1411
AL,Cardiac and Vascular Institute of Ultrasound,2007,1.5,Proprietary,455707,04066300,Mobile,36604-1411
AL,Cardiac and Vascular Institute of Ultrasound,2006,1.5,Proprietary,455707,04066300,Mobile,36604-1411
AL,Columbia Southern University,2016,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2015,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2014,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2013,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2012,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2011,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2010,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2009,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2008,2.9,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2007,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Columbia Southern University,2006,3,Proprietary,450933,04121500,Orange Beach,36561-3815
AL,Concordia College,2007,1.2,Private Non-Profit,101073,01055400,Selma,36701-3323
AL,Concordia College,2006,1.9,Private Non-Profit,101073,01055400,Selma,36701-3323
AL,Concordia College Alabama,2015,0.8,Non-Profit,101073,01055400,Selma,36701-3323
AL,Concordia College Alabama,2013,2.6,Non Profit,101073,01055400,Selma,36701-3323
AL,Concordia College Alabama,2012,3,Non Profit,101073,01055400,Selma,36701-3323
AL,Concordia College Alabama,2011,2.6,Non-Profit,101073,01055400,Selma,36701-3323
AL,Concordia College Alabama,2010,2.5,Non Profit,101073,01055400,Selma,36701-3323
AL,Concordia College Alabama,2009,1.1,Private Non-Profit,101073,01055400,Selma,36701-3323
AL,Concordia College Alabama,2008,0.6,Non Profit,101073,01055400,Selma,36701-3323
AL,Faulkner University,2016,2.4,Non-profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2015,2.4,Non-Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2014,2.7,Non Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2013,2.2,Non Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2012,2.6,Non Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2011,3,Non-Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2010,3,Non Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2009,3,Private Non-Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2008,2.2,Non Profit,101189,00100300,Montgomery,36109-3398
AL,Faulkner University,2007,2.6,Private Non-Profit,101189,00100300,Montgomery,36265-3314
AL,Faulkner University,2006,2.9,Private Non-Profit,101189,00100300,Montgomery,36265-3314
AL,Fortis College,2016,-1,Proprietary,371052,02341000,Mobile,36608-3712
AL,Fortis College,2016,-1,Proprietary,436641,03361400,Foley,36535-0000
AL,Fortis College,2015,-1,Proprietary,436641,03361400,Foley,36535-0000
AL,Fortis College,2015,-1,Proprietary,371052,02341000,Mobile,36608-3712
AL,Fortis Institute,2016,-1,Proprietary,216418,03010800,Birmingham,35211-0000
AL,Hair Academy (The),2016,2.5,Proprietary,,04187300,Montgomery,36111-2201
AL,Hair Academy (The),2015,2.6,Proprietary,,04187300,Montgomery,36111-2201
AL,Hair Academy (The),2014,2.3,Proprietary,,04187300,Montgomery,36111-2201
AL,Hair Academy (The),2013,1,Proprietary,,04187300,Montgomery,36111-2201
AL,Hair Academy (The),2012,2.4,Proprietary,,04187300,Montgomery,36111-2201
AL,Hair Academy (The),2011,2.9,Proprietary,,04187300,Montgomery,36111-2201
AL,Hair Academy (The),2010,1.6,Proprietary,,04187300,Montgomery,36111-2201
AL,Hair Academy (The),2009,2.5,Proprietary,,04187300,Montgomery,36111-2201
AL,Heritage Christian University,2016,3,Non-profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2015,2.7,Non-Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2014,2.7,Non Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2013,3,Non Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2012,2.6,Non Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2011,3,Non-Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2010,2.6,Non Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2009,2.4,Private Non-Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2008,2.2,Non Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2007,3,Private Non-Profit,101453,02199700,Florence,35630-6245
AL,Heritage Christian University,2006,3,Private Non-Profit,101453,02199700,Florence,35630-6245
AL,Huntingdon College,2016,2.7,Non-profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2015,2.2,Non-Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2014,2.9,Non Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2013,2,Non Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2012,2.8,Non Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2011,2.7,Non-Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2010,2.6,Non Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2009,2.6,Private Non-Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2008,1.9,Non Profit,101435,00101900,Montgomery,36106-2148
AL,Huntingdon College,2007,2.6,Private Non-Profit,101435,00101900,Montgomery,35242-4607
AL,Huntingdon College,2006,3,Private Non-Profit,101435,00101900,Montgomery,35242-4607
AL,Huntsville Bible College,2016,2,Non-profit,449348,03894300,Huntsville,35811-1632
AL,Huntsville Bible College,2015,1.3,Non-Profit,449348,03894300,Huntsville,35811-1632
AL,Huntsville Bible College,2014,1.6,Non Profit,449348,03894300,Huntsville,35811-1632
AL,Huntsville Bible College,2013,2.2,Non Profit,449348,03894300,Huntsville,35811-0000
AL,Huntsville Bible College,2012,2.9,Non Profit,449348,03894300,Huntsville,35811-0000
AL,Huntsville Bible College,2011,3,Non-Profit,449348,03894300,Huntsville,35811-0000
AL,Huntsville Bible College,2010,2.2,Non Profit,449348,03894300,Huntsville,35811-0000
AL,Huntsville Bible College,2009,1.8,Private Non-Profit,449348,03894300,Huntsville,35811-0000
AL,Huntsville Bible College,2008,1.4,Non Profit,449348,03894300,Huntsville,35811-0000
AL,Huntsville Bible College,2007,1.5,Private Non-Profit,449348,03894300,Huntsville,35811-0000
AL,Huntsville Bible College,2006,1.6,Private Non-Profit,449348,03894300,Huntsville,35811-0000
AL,Institute of Ultrasound Diagnostics (The),2012,2.1,Proprietary,,04207800,Spanish Fort,36527-5715
AL,Institute of Ultrasound Diagnostics (The),2011,1.6,Proprietary,,04207800,Spanish Fort,36527-5715
AL,Judson College,2016,2.2,Non-profit,101541,00102300,Marion,36756-2504
AL,Judson College,2015,1.2,Non-Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2014,2.5,Non Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2013,2.8,Non Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2012,2.8,Non Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2011,2.2,Non-Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2010,2.5,Non Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2009,3,Private Non-Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2008,2.2,Non Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2007,2.7,Private Non-Profit,101541,00102300,Marion,36756-2504
AL,Judson College,2006,2.7,Private Non-Profit,101541,00102300,Marion,36756-2504
AL,Midfield Institute of Cosmetology,2016,2.8,Non-profit,487816,04229400,Midfield,35228-2233
AL,Midfield Institute of Cosmetology,2015,2.7,Non-Profit,487816,04229400,Midfield,35228-2233
AL,Midfield Institute of Cosmetology,2014,3,Non Profit,487816,04229400,Midfield,35228-2233
AL,Midfield Institute of Cosmetology,2013,3,Non Profit,487816,04229400,Midfield,35228-2233
AL,Miles College,2016,3,Non-profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2015,2.7,Non-Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2014,2.9,Non Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2013,3,Non Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2012,3,Non Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2011,3,Non-Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2010,3,Non Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2009,3,Private Non-Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2008,2.6,Non Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2007,3,Private Non-Profit,101675,00102800,Fairfield,35064-2697
AL,Miles College,2006,3,Private Non-Profit,101675,00102800,Fairfield,35064-2697
AL,Mimi's Beauty Academy of Cosmetology,2008,1.3,Proprietary,,04116500,Huntsville,35810-3453
AL,Mitchell Cosmetology College,2016,2.7,Proprietary,431628,03113500,Alabaster,35007-8921
AL,Mitchell Cosmetology College,2013,3,Proprietary,431628,03113500,Alabaster,35007-1829
AL,New Beginning College of Cosmetology,2016,2.6,Proprietary,101277,04187200,Albertville,35951-0000
AL,New Beginning College of Cosmetology,2015,1.7,Proprietary,101277,04187200,Albertville,35951-0000
AL,New Beginning College of Cosmetology,2014,1.8,Proprietary,101277,04187200,Albertville,35951-0000
AL,New Beginning College of Cosmetology,2013,2.9,Proprietary,101277,04187200,Albertville,35951-0000
AL,New Beginning College of Cosmetology,2012,2.4,Proprietary,101277,04187200,Albertville,35951-0000
AL,New Beginning College of Cosmetology,2011,2.3,Proprietary,101277,04187200,Albertville,35951-0000
AL,New Beginning College of Cosmetology,2010,2.8,Proprietary,101277,04187200,Albertville,35951-0000
AL,New Beginning College of Cosmetology,2009,1.9,Proprietary,101277,04187200,Albertville,35950-2415
AL,Nunation School of Cosmetology,2013,2.2,Proprietary,,04217900,Fairfield,35064-2222
AL,Nunation School of Cosmetology,2012,2.8,Proprietary,,04217900,Fairfield,35064-2222
AL,Nunation School of Cosmetology,2011,1.8,Proprietary,,04217900,Fairfield,35064-2222
AL,Oakwood University,2016,3,Non-profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2015,2.8,Non-Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2014,3,Non Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2013,3,Non Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2012,3,Non Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2011,3,Non-Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2010,3,Non Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2009,2.9,Private Non-Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2008,3,Non Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2007,3,Private Non-Profit,101912,00103300,Huntsville,35896-0001
AL,Oakwood University,2006,3,Private Non-Profit,101912,00103300,Huntsville,35896-0001
AL,Paul Mitchell The School Huntsville,2016,1.8,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2015,1.5,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2014,3,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2013,3,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2012,3,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2011,2.6,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2010,2.5,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2009,1.8,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2007,0.9,Proprietary,417008,02285000,Madison,35758-0000
AL,Paul Mitchell The School Huntsville,2006,0.7,Proprietary,417008,02285000,Madison,35758-0000
AL,Prince Institute - Southeast,2014,2.2,Proprietary,101958,02296000,Montgomery,36117-4231
AL,Prince Institute - Southeast,2013,2.2,Proprietary,101958,02296000,Montgomery,36117-4231
AL,Prince Institute - Southeast,2012,2.2,Proprietary,101958,02296000,Montgomery,36117-4231
AL,Prince Institute - Southeast,2011,2,Proprietary,101958,02296000,Montgomery,36117-4231
AL,Prince Institute - Southeast,2010,1.6,Proprietary,101958,02296000,Montgomery,36117-4231
AL,Prince Institute - Southeast,2009,1.7,Proprietary,101958,02296000,Montgomery,36117-4231
AL,Prince Institute - Southeast,2008,2.2,Proprietary,101958,02296000,Montgomery,36117-4231
AL,Prince Institute of Professional Studies,2007,2.5,Proprietary,101958,02296000,Montgomery,36609-
AL,Prince Institute of Professional Studies,2006,1.8,Proprietary,101958,02296000,Montgomery,36609-
AL,Salon Professional Academy (The),2016,2.5,Proprietary,480976,04211000,Huntsville,35816-1849
AL,Salon Professional Academy (The),2015,2,Proprietary,480976,04211000,Huntsville,35816-1849
AL,Salon Professional Academy (The),2014,2.9,Proprietary,480976,04211000,Huntsville,35816-1849
AL,Salon Professional Academy (The),2013,1.6,Proprietary,480976,04211000,Huntsville,35816-1849
AL,Salon Professional Academy (The),2012,1.7,Proprietary,480976,04211000,Huntsville,35816-1849
AL,Salon Professional Academy (The),2011,1.7,Proprietary,480976,04211000,Huntsville,35816-1849
AL,Salon Professional Academy (The),2010,3,Proprietary,480976,04211000,Huntsville,35816-1849
AL,Samford University,2016,2.9,Non-profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2015,2.1,Non-Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2014,2.2,Non Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2013,3,Non Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2012,3,Non Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2011,2.2,Non-Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2010,3,Non Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2009,2.6,Private Non-Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2008,2.2,Non Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2007,2.5,Private Non-Profit,102049,00103600,Birmingham,35229-7000
AL,Samford University,2006,3,Private Non-Profit,102049,00103600,Birmingham,35229-7000
AL,Selma University,2015,1.7,Non-Profit,102058,04067300,Selma,36701-5232
AL,Selma University,2014,1.9,Non Profit,102058,04067300,Selma,36701-5232
AL,Selma University,2013,1.8,Non Profit,102058,04067300,Selma,36701-5232
AL,Selma University,2012,1.9,Non Profit,102058,04067300,Selma,36701-5232
AL,Selma University,2011,1.7,Non-Profit,102058,04067300,Selma,36701-5232
AL,Selma University,2010,1.8,Non Profit,102058,04067300,Selma,36701-5232
AL,Selma University,2009,3,Private Non-Profit,102058,04067300,Selma,36701-5232
AL,Selma University,2008,2.3,Non Profit,102058,04067300,Selma,36701-5232
AL,Southeastern Bible College,2016,1.5,Non-profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2015,1.2,Non-Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2014,2.5,Non Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2013,2.2,Non Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2012,2.9,Non Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2011,1.5,Non-Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2010,2.4,Non Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2009,2.2,Private Non-Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2008,1.8,Non Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2007,3,Private Non-Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern Bible College,2006,2.1,Private Non-Profit,102261,02270400,Birmingham,35244-2083
AL,Southeastern School of Cosmetology,2015,1.8,Non-Profit,439978,03459300,Birmingham,35208-3865
AL,Southeastern School of Cosmetology,2014,1.6,Non Profit,439978,03459300,Birmingham,35211-3865
AL,Southeastern School of Cosmetology,2013,1.9,Non Profit,439978,03459300,Birmingham,35211-3865
AL,Southeastern School of Cosmetology,2012,1.6,Non Profit,439978,03459300,Birmingham,35211-3865
AL,Southeastern School of Cosmetology,2011,1.8,Non-Profit,439978,03459300,Birmingham,35211-3865
AL,Southeastern School of Cosmetology,2010,1.8,Non Profit,439978,03459300,Birmingham,35211-3865
AL,Southeastern School of Cosmetology,2009,2.4,Private Non-Profit,439978,03459300,Birmingham,35211-3865
AL,Southeastern School of Cosmetology,2008,2.1,Non Profit,439978,03459300,Birmingham,35211-3865
AL,Southeastern School of Cosmetology,2007,2.3,Private Non-Profit,439978,03459300,Birmingham,35215-5659
AL,Southeastern School of Cosmetology,2006,2,Private Non-Profit,439978,03459300,Birmingham,35215-5659
AL,Spring Hill College,2016,3,Non-profit,102234,00104100,Mobile,36608-1791
AL,Spring Hill College,2015,1.7,Non-Profit,102234,00104100,Mobile,36608-1791
AL,Spring Hill College,2014,1.4,Non Profit,102234,00104100,Mobile,36608-1791
AL,Spring Hill College,2013,2.1,Non Profit,102234,00104100,Mobile,36608-1791
AL,Spring Hill College,2012,0.5,Non Profit,102234,00104100,Mobile,36608-1791
AL,Spring Hill College,2011,0.7,Non-Profit,102234,00104100,Mobile,36608-1791
AL,Spring Hill College,2010,2.2,Non Profit,102234,00104100,Mobile,36608-1791
